,Manager,Player,Team,Total Wildcard,Total Division,Total Conference,Total Superbowl,Total Points
280,Michaels motivated sea'men,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
281,Murphys,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
282,Mythical Hail Marys,A.J. Brown,PHI,2.0,0.0,0.0,0.0,2.0
283,New Year |  Same Me | Wesley ,A.J. Brown,PHI,2.0,0.0,0.0,0.0,2.0
284,Nick Dakuginow,A.J. Brown,PHI,2.0,0.0,0.0,0.0,2.0
285,Pirates Life For Me ,Mike Evans,TB,22.200000000000003,0.0,0.0,0.0,22.200000000000003
286,Sarasota Supreme Team ,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
287,See deez TDs,A.J. Brown,PHI,2.0,0.0,0.0,0.0,2.0
288,Shaun McElroy,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
289,Shot in the Dark / JC,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
290,Show Me Your TDs!/Richard Silva,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
291,Silver Papa,Justin Jefferson,MIN,10.8,0.0,0.0,0.0,10.8
292,Stat-O-Matic | Chris K,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
293,Tanja,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
294,Turd Ferguson,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
295,Tutt-Nation,Amon-Ra St. Brown,DET,0.0,23.700000000000003,0.0,0.0,23.700000000000003
296,2-10 Hahaha,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
297,A G-Thang,Jordan Addison,MIN,5.9,0.0,0.0,0.0,5.9
298,Abarrett35,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
299,Alexander’s Raiders,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
300,Ball Too Well (Allie’s Version),Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
301,Blake Rogers,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
302,Born tua be wild ,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
303,Danny,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
304,Erin M | HearMeowt,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
305,Ethan R,Jordan Addison,MIN,5.9,0.0,0.0,0.0,5.9
306,F.O.G.| Joe Pino,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
307,Fantasy Fumble Funnies,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
308,Gage ,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
309,Griffin Stanley,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
310,Hawk Tua | Brock Michalek ,Ladd McConkey,LAC,39.7,0.0,0.0,0.0,39.7
311,Karrtoons,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
312,Liebersquad,Ladd McConkey,LAC,39.7,0.0,0.0,0.0,39.7
313,Matt’s last chance at fantasy,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
